ISim log file
Running: /home/ise/Desktop/CS_224/Lab9/test1_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb /home/ise/Desktop/CS_224/Lab9/test1_isim_beh.wdb 
ISim P.20131013 (signature 0xfbc00daa)
----------------------------------------------------------------------
WARNING:Security:42 - Your software subscription period has lapsed. Your current version of Xilinx tools will continue to function, but you no longer qualify for Xilinx software updates or new releases.


----------------------------------------------------------------------
This is a Full version of ISim.
WARNING:  For instance uut/alu/, width 1 of formal port cin is not equal to width 32 of actual constant.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
                   0,  curr= 0,  ss_add= 0,  ss_in=  0,  ss_out=  x,  rf_id= 0,  rf_in=  0,  rf_out=  x,  alu_out=  x
                 199,  curr= 3,  ss_add= 5,  ss_in=  0,  ss_out=  z,  rf_id= 5,  rf_in=  8,  rf_out=  x,  alu_out=  x
                 201,  curr= 4,  ss_add= 5,  ss_in=  0,  ss_out= 10,  rf_id= 5,  rf_in= 10,  rf_out=  x,  alu_out=  x
                 203,  curr= 5,  ss_add= 5,  ss_in=  0,  ss_out= 10,  rf_id= 5,  rf_in= 10,  rf_out=  x,  alu_out=  x
                 205,  curr= 6,  ss_add= 5,  ss_in=  0,  ss_out= 10,  rf_id= 5,  rf_in= 10,  rf_out= 10,  alu_out=  x
                 207,  curr= 7,  ss_add= 5,  ss_in=  0,  ss_out= 10,  rf_id= 5,  rf_in= 10,  rf_out= 10,  alu_out=  x
                 209,  curr= 8,  ss_add= 6,  ss_in=  0,  ss_out=  z,  rf_id= 6,  rf_in= 10,  rf_out= 10,  alu_out=  x
                 211,  curr= 9,  ss_add= 6,  ss_in=  0,  ss_out=  z,  rf_id= 6,  rf_in= 10,  rf_out=  x,  alu_out=  x
                 213,  curr= 1,  ss_add= 6,  ss_in=  0,  ss_out=  z,  rf_id= 6,  rf_in= 10,  rf_out=  x,  alu_out=  x
                 215,  curr= 2,  ss_add= 6,  ss_in=  0,  ss_out=  z,  rf_id= 6,  rf_in= 10,  rf_out=  x,  alu_out=  x
                 217,  curr= 3,  ss_add= 6,  ss_in=  0,  ss_out=  z,  rf_id= 6,  rf_in= 10,  rf_out=  x,  alu_out=  x
                 219,  curr= 4,  ss_add= 6,  ss_in=  0,  ss_out= 12,  rf_id= 6,  rf_in= 12,  rf_out=  x,  alu_out=  x
                 221,  curr= 5,  ss_add= 6,  ss_in=  0,  ss_out= 12,  rf_id= 6,  rf_in= 12,  rf_out=  x,  alu_out=  x
                 223,  curr= 6,  ss_add= 6,  ss_in=  0,  ss_out= 12,  rf_id= 6,  rf_in= 12,  rf_out= 12,  alu_out=  x
                 225,  curr= 7,  ss_add= 6,  ss_in=  0,  ss_out= 12,  rf_id= 6,  rf_in= 12,  rf_out= 12,  alu_out=  x
                 227,  curr= 8,  ss_add= 7,  ss_in=  0,  ss_out=  z,  rf_id= 7,  rf_in= 12,  rf_out= 12,  alu_out=  x
                 229,  curr= 9,  ss_add= 7,  ss_in=  0,  ss_out=  z,  rf_id= 7,  rf_in= 12,  rf_out=  x,  alu_out=  x
                 231,  curr= 0,  ss_add= 7,  ss_in=  0,  ss_out=  z,  rf_id= 0,  rf_in=  0,  rf_out=  x,  alu_out=  x
                 233,  curr=10,  ss_add= 7,  ss_in=  0,  ss_out=  z,  rf_id= 0,  rf_in=  0,  rf_out=  0,  alu_out=  x
                 235,  curr=11,  ss_add= 7,  ss_in=  0,  ss_out=  z,  rf_id= 0,  rf_in=  0,  rf_out=  0,  alu_out=  x
                 237,  curr=12,  ss_add= 7,  ss_in=  0,  ss_out=  z,  rf_id= 0,  rf_in=  0,  rf_out=  0,  alu_out=  x
                 239,  curr=13,  ss_add= 7,  ss_in=  0,  ss_out=  z,  rf_id= 1,  rf_in=  0,  rf_out=  0,  alu_out=  x
