CS348#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Pinaki Mitra#
CS331#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Aryabartta Sahu#
DS699#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Unspecified#
DD212#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Ms Sheetal Madhav Gokhale#
DD213#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Pradeep G. Yammiyavar#22 Apr, 2021 ( 14:00 to 17:00 )
DD214#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Sougata Karmakar#
DD215#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Sougata Karmakar#24 Apr, 2021 ( 14:00 to 17:00 )
DD216#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Mr Pankaj Upadhyay#
DD220M#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Urmi  Ravindra Salve#27 Apr, 2021 ( 09:00 to 12:00 )
DD201#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Ms Shareka Iqbal#
DD311#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Pratul Chandra Kalita#21 Apr, 2021 ( 09:00 to 12:00 )
DD312#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Shakuntala Acharya#22 Apr, 2021 ( 09:00 to 12:00 )
DD398#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Shakuntala Acharya#
DD324#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Ms Sharmistha Banerjee#24 Apr, 2021 ( 09:00 to 12:00 )
DD325#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Manoj Majhi#
DD326#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Mr Abhishek  Singh#
DD320M#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Ms Shareka Iqbal#28 Apr, 2021 ( 14:00 to 17:00 )
DD321#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Mr Supradip  Das#28 Apr, 2021 ( 09:00 to 12:00 )
DD322#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Manoj Majhi#
DD411#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Pratul Chandra Kalita#21 Apr, 2021 ( 14:00 to 17:00 )
DD499#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Ms Sheetal Madhav Gokhale#
DD505#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Mr Supradip  Das#
DD506#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Utpal Barua#
DD507#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Abhishek Shrivastava#
DD605#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Udaya Kumar Dharmalingam#
DD509#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Keyur Babulal Sorathia#21 Apr, 2021 ( 09:00 to 12:00 )
DD516#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Sougata Karmakar#23 Apr, 2021 ( 14:00 to 17:00 )
DD517#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Mr Abhishek  Singh#26 Apr, 2021 ( 14:00 to 17:00 )
DD534#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Keyur Babulal Sorathia#27 Apr, 2021 ( 14:00 to 17:00 )
DD602#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Debayan  Dhar#28 Apr, 2021 ( 14:00 to 17:00 )
DD604#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Pradeep G. Yammiyavar#22 Apr, 2021 ( 09:00 to 12:00 )
DD606#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Ms Sharmistha Banerjee#27 Apr, 2021 ( 09:00 to 12:00 )
DD705#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Debayan  Dhar#23 Apr, 2021 ( 09:00 to 12:00 )
DD710#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Urmi  Ravindra Salve#
DD533#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Abhishek Shrivastava#26 Apr, 2021 ( 09:00 to 12:00 )
BT206#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Sanjukta Patra#24 Apr, 2021 ( 09:00 to 12:00 )
BT207#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Sachin Kumar#23 Apr, 2021 ( 09:00 to 12:00 )
BT208#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Souptick  Chanda#21 Apr, 2021 ( 09:00 to 12:00 )
BT209#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Soumen  Kumar Maiti#22 Apr, 2021 ( 09:00 to 12:00 )
BT211#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Siddhartha Sankar Ghosh#
BT311#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Senthilkumar Sivaprakasam#
BT312#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Biman  Behari Mandal#
BT306#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Pranab Goswami#27 Apr, 2021 ( 14:00 to 17:00 )
BT307#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Biplab Bose#21 Apr, 2021 ( 14:00 to 17:00 )
BT401#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Ajaikumar Bahulayan Kunnumakkara#21 Apr, 2021 ( 09:00 to 12:00 )
BT510#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Latha Rangan#
BT502#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Shankar Prasad Kanaujia#21 Apr, 2021 ( 09:00 to 12:00 )
BT520#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Gurvinder Kaur Saini#
BT633#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Manish Kumar#27 Apr, 2021 ( 09:00 to 12:00 )
