CourseNo.#Type of Course#Offered to
CE533#Compulsory#M. Tech-Geotech. 2nd Sem
CE534#Compulsory#M. Tech-Geotech. 2nd Sem
CE544#Compulsory#MTech-IEM., 2nd Sem., and Dept. Elective for Ph.D
CE552#Dept Elective#M. Tech, 2nd Sem
CE555#Compulsory#M. Tech., 2nd Sem
CE556#Compulsory#M. Tech., 2nd Sem, B Tech 8th
CE559#Dept Elective for M.Tech Open Elective for B.Tech#M. Tech., 2nd Sem, B.Tech. 8th Sem.
CE583#Compulsory#MTech-Transport 2nd Semester, PhD
CE584#Compulsory#MTech-Transport 2nd Semester, PhD
CE585#Compulsory#MTech-Transport, 2nd Semester
CE594#Compulsory#M.Tech. 2nd, B Tech 8th
CE595#Compulsory#M.Tech. 2nd
CE606#Dept. Elective#MTech-Structural./PhD, 2nd; B.Tech. 8th
CE607#Dept. Elective#MTech-Structural./PhD, 2nd; B.Tech., 8th
CE608#Dept Elective#MTech-Structural./PhD, 2nd
CE610#Dept Elective#MTech-Structural./PhD, 2nd
CE612#Compulsory#Compulsory for MTech-IEM., 2nd Sem., IEM, Dept. Elective for MTech-IEM Struc. Engg., 2nd Sem., and Dept. Elective for Ph.D
CE614#Compulsory#MTech-IEM., 2nd Sem. and Dept. Elective for Ph.D
CE615#Dept. Elective#MTech-Structural./PhD, 2nd
CE618#Dept Elective#M. Tech. 2nd Sem. Geotech, WRE, B Tech 8th
CE628#Dept. Elective#MTech-Transport 2nd Semester, PhD
CE623#Dept. Elective#MTech-Transport, IEM 2nd Semester, PhD
CE624#Dept. Elective#MTech-Transport and PhD, II Semester, B Tech 8th
CE642#Open Elective#M. Tech. 2nd Sem. Geotechnical Specialization
CE646#Elective#M. Tech. 2nd Sem. Geotechnical Specialization
CE664#Dept Elective#MTech-WRE., Environ, 2nd Sem
CE665#Dept Elective#MTech-WRE., Environ, 2nd Sem
CH211#Compulsory#B. Tech.4-Sem
CH222#Compulsory#B. Tech.4-Sem
CH223#Compulsory, Lab#B. Tech.4-Sem
CH224#Compulsory#B. Tech.4-Sem
CH233#Compulsory#B. Tech.4-Sem
CH323#Compulsory#B. Tech.6-Sem
CH332#Compulsory#B. Tech.6-Sem
CH334#Compulsory, Lab#B. Tech.6-Sem
CH335#Compulsory#B. Tech.6-Sem
CH400#Compulsory#M. Sc.2-Sem
CH411#Compulsory#M. Sc.2-Sem
CH418#Dept. Elective - III#B. Tech.8-Sem
CH419#Open Elective#B. Tech.6-Sem
CH421#Compulsory#M. Sc.2-Sem
CH425#Compulsory, Lab#M. Sc.2-Sem
CH428#Dept. Elective - IV#B. Tech.8-Sem
CH432#Compulsory#M. Sc.2-Sem
CH433#Compulsory#M. Sc.2-Sem
CH437#Dept. Elective -V#B. Tech.8-Sem
CH438#Dept. Elective - IV#B. Tech.8-Sem
CH499#Compulsory#B. Tech.8-Sem
CH500#Compulsory#M. Sc.4-Sem
CH600#Compulsory#M. Sc.4-Sem
CH603#Dept. Elective#Ph. D. + M.Sc +B Tech1 or 2-Sem
CH613#Dept. Elective - I#M. Sc. + PhD4-Sem
CH617#Dept. Elective#Ph. D.1 or 2-Sem
CH618#Dept. Elective#Ph. D.1 or 2-Sem
CH621#Dept. Elective - I#M. Sc.4-Sem
CH623#Dept. Elective-I#M. Sc4-Sem
CH627#Dept. Elective#Ph. D.1 or 2-Sem
CH629#Dept. Elective#Ph. D.1 or 2-Sem
CH636#Dept. Elective#Ph. D.1 or 2-Sem
CH639#Dept. Elective - II#M. Sc. + PhD4-Sem
CH644#Open Elective#B. Tech. + MSc + PhD8-Sem
CL205#Compulsory#Undergraduate & IV
CL206#Compulsory#Undergraduate & IV
CL207#Compulsory#Undergraduate & IV
CL208#Compulsory#Undergraduate & IV
CL209#Compulsory#Undergraduate &IV
CL210H#Compulsory#Undergraduate & IV
CL211H#Compulsory#Undergraduate & IV
CL304#Compulsory#Undergraduate & VI
CL305#Compulsory#Undergraduate & VI
CL306#Compulsory#Undergraduate & VI
CL312#Compulsory#Undergraduate & VI
CL313#Compulsory#Undergraduate & VI
CL314H#Compulsory#Undergraduate & VI
CL315H#Compulsory#Undergraduate & VI
CL503#Compulsory#Post Graduate  & II
CL504#Compulsory#Post Graduate  & II
CL505#Compulsory#Post Graduate  & II
CL506#Compulsory#Post Graduate  & II
CL514#Compulsory#Post Graduate  & II
CL598#Compulsory#Post Graduate  & II
CL599#Compulsory#Post Graduate  & II
CL612#Dept. Elective#Undergraduate & (VI,VIII), Post Graduate  & II, PhD & all
CL613#Open Elective Dept. Elective#Undergraduate & (VI,VIII), Post Graduate  & II, PhD & all
CL615#Dept. Elective#Undergraduate & (VI,VIII), Post Graduate  & II, PhD & all
CL619#Dept. Elective#Undergraduate & VIII, Post Graduate  & II, PhD & all
CL622#Dept. Elective#Undergraduate & (VI,VIII), Post Graduate  & II, PhD & all
CL625#Dept. Elective#Undergraduate & (VI,VIII), Post Graduate  & II, PhD & all
CL626#Dept. Elective#Undergraduate &VIII, Post Graduate  & II, PhD & all
CL627#Dept. Elective#Undergraduate & VIII, Post Graduate  & II, PhD & all
CL628#Dept. Elective#Undergraduate & VIII, Post Graduate  & II, PhD & all
CL634#Dept. Elective#Undergraduate & (VI,VIII), Post Graduate  & II, PhD & all
CL636#Dept. Elective#Undergraduate & (VI,VIII), Post Graduate (MST)  & II, PhD & all
CL640#Dept. Elective#Post Graduate  & (II, IV), PhD & all
CL643#Dept. Elective#Undergraduate & (VI,VIII), Post Graduate  & II, PhD & all
CL650#Dept. Elective#Undergraduate &VIII, Post Graduate  & II, PhD & all
CL651#Open Elective & Dept. Elective#Undergraduate & (VI,VIII), Post Graduate  & II, PhD & all
CS205#Compulsory#B. Tech. 4th Sem.
CS206M#Minor#B. Tech. 4th Sem. Minor
CS207#Compulsory#B. Tech. 4th Sem.
CS223#Compulsory#B. Tech. 4th Sem.
CS224#Compulsory#B. Tech. 4th Sem.
CS245#Compulsory#B. Tech. 4th Sem.
CS246#Compulsory#B. Tech. 4th Sem.
CS331#Departmental Lab Elective#B. Tech. 6th Sem.
CS345#Compulsory#B. Tech. 6th Sem.
CS346#Compulsory#B. Tech. 6th Sem.
CS348#Compulsory#B. Tech. 6th Sem.
CS350M#Minor#B. Tech. 6th Sem. Minor
CS361#Compulsory#B. Tech. 6th Sem.
CS506#Departmental Elective#B. Tech. 6th Sem., B. Tech. 8th Sem., M. Tech. 2nd Sem., Ph.D.
CS508#Open Elective#
CS528#Departmental Elective#B. Tech. 6th Sem., B. Tech. 8th Sem., M. Tech. 2nd Sem., Ph.D.
CS529#Departmental Elective#B. Tech. 6th Sem., B. Tech. 8th Sem., M. Tech. 2nd Sem., Ph.D., M. Tech. 2nd Sem. (Data Science)
CS534#Departmental Elective#B. Tech. 6th Sem., B. Tech. 8th Sem., M. Tech. 2nd Sem., Ph.D.
CS544#Departmental Elective#B. Tech. 6th Sem., B. Tech. 8th Sem., M. Tech. 2nd Sem., Ph.D.
CS549#Departmental Elective#B. Tech. 6th Sem., B. Tech. 8th Sem., M. Tech. 2nd Sem., Ph.D.
CS558#Compulsory#M. Tech. 2nd Sem., Ph.D.
CS577#Open Elective#B. Tech. 6th Sem., B. Tech. 8th Sem
CS595#Compulsory#M. Tech. 2nd Sem. (Data Science)
DA671#Elective#Ph.D., M.Tech., B.Tech. (8th semester)
DA526#Elective#Ph.D.
DA546#Elective#Ph.D.
DD212#Compulsory#B.Des 4th Sem
DD213#Compulsory#B.Des 4th Sem
DD214#Compulsory#B.Des 4th Sem
DD215#Compulsory#B.Des 4th Sem
DD220M#Minor#B. Tech 4th semester
DD303#Compulsory#B.Des 4th Sem
DD311#Compulsory#B.Des 6th Sem
DD312#Compulsory#B.Des 6th Sem
DD320M#Minor#B. Tech 6th semester
DD322#Elective#B.Des 6th Sem
DD324#Elective#B.Des 6th Sem
DD325#Elective#B.Des 6th Sem
DD326#Elective#B.Des 6th Sem
DD398#Compulsory#B.Des 6th Sem
DD411#Compulsory#B.Des 8th Sem
DD499#Compulsory#B.Des 8th Sem
DD505#Compulsory#M.Des 2nd Sem
DD506#Compulsory#M.Des 2nd Sem
DD507#Compulsory#M.Des 2nd Sem
DD509#Elective#M.Des 2nd Sem
DD514#Elective#M.Des 2nd Sem,B.Des 6th Sem
DD516#Elective#M.Des 2nd Sem,B.Des 6th Sem
DD517#Elective#M.Des 2nd Sem,M.Des 4th Sem
DD524#Elective#M.Des 4th Sem and B.Des 8th sem
DD 532#Elective#M.Des 4th Sem and B.Des 8th sem
DD605#Compulsory#M.Des 4th Sem
DD 606#Elective#M.Des 4th Sem,B.Des 6th Sem and 8th sem
DD709##PhD
DD710##PhD
DM503#Compulsory#M.S. ( R)/ M.Tech 2nd Semester, PhD
DM504#Compulsory#M.S. ( R)/ M.Tech 2nd Semester, PhD
DM514#Elective#M.S. ( R)/ M.Tech 2nd Semester, PhD
DM515#Elective#M.S. ( R)/ M.Tech 2nd Semester, PhD
EE206#Compulsory#B Tech (ECE and EEE) Fourth Semester
EE207#Compulsory#B Tech (ECE and EEE) Fourth Semester
EE213M#Minor#B Tech (Minor ECE) Fourth Semester
EE230#Compulsory#B Tech (ECE and EEE) Fourth Semester
EE250#Compulsory#B Tech (ECE and EEE) Fourth Semester
EE252#Compulsory#B Tech (ECE and EEE) Fourth Semester
EE253#Compulsory#B Tech (ECE and EEE) Fourth Semester
EE313#Compulsory#B Tech (ECE) Sixth Semester
EE314#Dept Elective#EEE + ECE
EE322M#Minor#B Tech (Minor ECE) Sixth Semester
EE332#Compulsory#B Tech (ECE) Sixth Semester
EE333#Compulsory#B Tech (ECE) Sixth Semester
EE334#Compulsory#B Tech (ECE) Sixth Semester
EE335#Dept Elective#EEE + ECE
EE352#Dept Elective#EEE + ECE
EE360#Compulsory#B Tech (EEE) Sixth Semester
EE370#Compulsory#B Tech (EEE) Sixth Semester
EE371#Compulsory#B Tech (EEE) Sixth Semester
EE381#Compulsory#B Tech (EEE) Sixth Semester
EE390#Compulsory#B Tech (ECE and EEE) Sixth Semester
EE399#Compulsory#B Tech (ECE and EEE) Eighth Semester
EE499#Compulsory#B Tech (ECE and EEE) Eighth Semester
EE512#Compulsory#M Tech (VLSI) Second Semester
EE515#Compulsory#M Tech (VLSI) Second Semester
EE516#Compulsory#M Tech (VLSI) Second Semester
EE517#Compulsory#M Tech (VLSI) Second Semester
EE518#Compulsory#M Tech (VLSI) Second Semester
EE521#Compulsory#M Tech (SPML) Second Semester
EE522#Compulsory#M Tech (SPML) Second Semester
EE525#Compulsory#M Tech (SPML) Second Semester
EE526#Compulsory#M Tech (DS) Second Semester
EE527#Compulsory#M Tech (DS) Second Semester
EE533#Compulsory#M Tech (CE) Second Semester
EE534#Compulsory#M Tech (CE) Second Semester
EE535#Compulsory#M Tech (CE) Second Semester
EE541#Compulsory#M Tech (RFP) Second Semester
EE543#Compulsory#M Tech (RFP) Second Semester
EE544#Compulsory#M Tech (RFP) Second Semester
EE553#Compulsory#M Tech (SCA) Second Semester
EE554#Compulsory#M Tech (SCA) Second Semester
EE555#Compulsory#M Tech (SCA) Second Semester
EE562#Compulsory#M Tech (PE) Second Semester
EE572#Compulsory#M Tech (PE) Second Semester
EE580#Compulsory#M Tech (PE) Second Semester
EE592#Compulsory#M Tech (CE) Second Semester
EE595H#Compulsory#M Tech (DS) Second Semester
EE596H#Compulsory#M Tech (DS) Second Semester
EE611#OpenElective#Open Elective
EE613#Dept Elective#Btech Eighth Semester/MTech Second Semester/ PhD
EE621#Dept Elective#Btech Eighth Semester/MTech Second Semester/ PhD
EE622#Dept Elective#Btech Eighth Semester/MTech Second Semester/ PhD
EE627#Dept Elective#SPML/CE
EE633#Dept Elective#SPML/CE
EE634#Dept Elective#VLSI/RFP
EE643#Dept Elective#VLSI/RFP
EE655#Dept Elective#SCA/SPML
EE656#Dept Elective#SCA/PE
EE661#Dept Elective#PE/SCA
EE674#Dept Elective#PE/SCA
EE694#Dept Elective#MTech: RFP/VLSI BTech (8th Semester) : ECE/EEE
EE696#Dept Elective#PE/SCA
EE699#Compulsory#ALL M. Tech Fourth Semester
EN671#Open Elective#B.Tech (eight semester), MSR (second semester), MTech (second semester), PhD (First and second semester),
EN674#Compulsory/Dept.  Elective#MSR (second semester), MTech (second semester), PhD (First and second semester),
EN697#Compulsory#MSR (second semester)
EN699#Compulsory#MSR (Fourth semester)
HS107#HSS Elective#Btech, 4th semester
HS113#HSS Elective#Btech, 4th semester
HS119#HSS Elective#Btech, 4th semester
HS123#HSS Elective#Btech, 4th semester
HS125#HSS Elective#Btech, 4th semester
HS134#HSS Elective#Btech, 4th semester
HS135#HSS Elective#Btech, 4th semester
HS136#HSS Elective#Btech, 4th semester
HS138#HSS Elective#Btech, 4th semester
HS139#HSS Elective#Btech, 4th semester
HS148#HSS Elective#Btech, 4th semester
HS217#HSS Elective#Btech, 8th semester
HS218#HSS Elective#Btech, 8th semester
HS221#HSS Elective#Btech, 8th semester
HS222#HSS Elective#Btech, 8th semester
HS229#HSS Elective#Btech, 8th semester
HS232M#Minor#Minor, 4th semester
HS233#HSS Elective#Btech, 8th semester
HS235#HSS Elective#Btech, 8th semester
HS239#HSS Elective#Btech, 8th semester
HS240#HSS Elective#Btech, 8th semester
HS242#HSS Elective#Btech, 8th semester
HS244#HSS Elective#Btech, 8th semester
HS245#HSS Elective#Btech, 8th semester
HS320M#Minor#Minor, 6th semester
HS503#Compulsory#MA, 2nd semester
HS517#Compulsory#MA, 2nd semester
HS523#Compulsory#MA, 2nd semester
HS524#Compulsory#MA, 2nd semester
HS525#Compulsory#MA, 2nd semester
HS604#Dept. Elective#MA, 4th semester
HS606#Dept. Elective#MA, 4th semester
HS699#Compulsory#MA, 4th semester
HS707#Dept. Elective#PhD, August 2020, January 2021
HS712#Dept. Elective#PhD, August 2020, January 2021
HS714#Dept. Elective#PhD, August 2020, January 2021
HS716#Dept. Elective#PhD, August 2020, January 2021
HS719#Dept. Elective#PhD, August 2020, January 2021
HS724#Dept. Elective#PhD, August 2020, January 2021
HS727#Dept. Elective#PhD, August 2020, January 2021
HS731#Dept. Elective#PhD, August 2020, January 2021
HS732#Dept. Elective#PhD, August 2020, January 2021
HS733#Dept. Elective#PhD, August 2020, January 2021
HS734#Dept. Elective#PhD, August 2020, January 2021
HS735#Dept. Elective#PhD, August 2020, January 2021
HS740#Dept. Elective#PhD, August 2020, January 2021
HS749#Dept. Elective#PhD, August 2020, January 2021
HS753#Dept. Elective#PhD, August 2020, January 2021
HS763#Dept. Elective#PhD, August 2020, January 2021
HS771#Dept. Elective#PhD, August 2020, January 2021
HS768#Dept. Elective#PhD, August 2020, January 2021
HS780#Dept. Elective#PhD, August 2020, January 2021
HS781#Dept. Elective#PhD, August 2020, January 2021
HS784#Dept. Elective#PhD, August 2020, January 2021
LS521#ELECTIVE#PhD, August 2020, January 2021
LS551#ELECTIVE#PhD, August 2020, January 2021
IFST017#Compulsory#IMDFST (July 2021 batch)
IFST020#Compulsory#IMDFST (July 2020 batch)
MA212M#Minor#B. Tech (Mathematics Minor)-Sem 4
MA224#Compulsory#B. Tech (M&C)-Sem 4
MA252#Compulsory#B. Tech (M&C)-Sem 4
MA271#Compulsory#B. Tech (M&C)-Sem 4
MA312M#Minor#B. Tech (Mathematics Minor)-Sem 6
MA322#Compulsory#B. Tech (M&C)-Sem 6
MA324#Compulsory#B. Tech (M&C)-Sem 6
MA351#Compulsory#B. Tech (M&C)-Sem 6
MA373#Compulsory#B. Tech (M&C)-Sem 6
MA374#Compulsory#B. Tech (M&C)-Sem 6
MA477#Dept. Elective#B. Tech (M&C)-Sem 8
MA499#Compulsory#B. Tech (M&C)-Sem 8
MA510#Dept. Elective#B. Tech (M&C)-Sem 8, M. Sc. (M&C)-Sem 4, Ph. D. (Mathematics)-Sem 1 and 2
MA512#Compulsory#M. Sc. (M&C)-Sem 2
MA542#Compulsory#M. Sc. (M&C)-Sem 2
MA547#Compulsory#M. Sc. (M&C)-Sem 2
MA562#Dept. Elective#B. Tech (M&C)-Sem 6 and 8, M. Sc. (M&C)-Sem 4, Ph.D. (Mathematics)-Sem 1 and 2
MA571#Compulsory#M. Sc. (M&C)-Sem 4
MA573#Compulsory#M. Sc. (M&C)-Sem 4
MA588#Compulsory#M. Tech (data science)-Sem 2
MA590#Compulsory#M. Sc. (M&C)-Sem 2
MA591#Compulsory#M. Sc. (M&C)-Sem 2
MA597#Dept. Elective#B. Tech (M&C)-Sem 6, M. Sc. (M&C)-Sem 4, Ph.D. (Mathematics)-Sem 1 and 2
MA601#Open Elective#B. Tech (all disciplines)-Sem 8, M. Sc. (M&C)-Sem 4, Ph. D. (Mathematics)-Sem 1 and 2
MA617#Compulsory#Ph. D. (CSE)-Sem 1
MA618#Compulsory#Ph. D. (CSE)-Sem 1
MA619#Compulsory#Ph. D. (CSE)-Sem 1
MA621#Dept. Elective#B. Tech (M&C)-Sem 6 and 8, M. Sc. (M&C)-Sem 4, Ph.D. (Mathematics)-Sem 1 and 2
MA623#Dept. Elective#Ph.D. (Mathematics)-Sem 1 and 2
MA625#Compulsory#Ph.D. (Mathematics)-Sem 1
MA642#Compulsory#Ph.D. (Mathematics)-Sem 1
MA645#Dept. Elective#Ph. D. (Mathematics)-Sem 1 and 2, M. Sc. (M&C)-Sem 4
MA650#Dept. Elective#Ph.D. (Mathematics)-Sem 1 and 2
MA651#Dept. Elective#B. Tech (M&C)-Sem 6 and 8, M. Sc. (M&C)-Sem 4, Ph.D. (Mathematics)-Sem 1 and 2, M. Tech (data science)-Sem 2
MA652#Dept. Elective#B. Tech (M&C)-Sem 8, M. Sc. (M&C)-Sem 4, Ph. D. (Mathematics)-Sem 1 and 2, M. Tech (data science)-Sem 2
MA662#Compulsory#Ph.D. (Mathematics)-Sem 1
MA699#Compulsory#M. Sc. (M&C)-Sem 4
MA746#Dept. Elective#Ph.D. (Mathematics)-Sem 1 and 2
ME202M#Minor#UG-IV
ME221#Compulsory#UG-IV
ME222#Compulsory#UG-IV
ME223#Compulsory#UG-IV
ME224#Compulsory#UG-IV
ME225#Compulsory#UG-IV
ME226#Compulsory#UG-IV
ME302M#Minor#UG-VI
ME321#Compulsory#UG-VI
ME322#Compulsory#UG-VI
ME323#Compulsory#UG-VI
ME324#Compulsory#UG-VI
ME325#Compulsory#UG-VI
ME326#Compulsory#UG-VI
ME511#Compulsory#PG
ME513#Compulsory#PG
ME515#Compulsory#PG
ME522#Compulsory#PG
ME541#Compulsory#PG
ME542#Compulsory#PG
ME544#Compulsory#PG
ME552#Compulsory#PG
ME553#Compulsory#PG
ME554#Compulsory#PG
ME605#ELECTIVE#
ME607#ELECTIVE#
ME612#ELECTIVE#
ME615#ELECTIVE#
ME619#ELECTIVE#
ME621#ELECTIVE#
ME628#ELECTIVE#
ME648#ELECTIVE#
ME657#ELECTIVE#
ME664#ELECTIVE#
ME670#ELECTIVE#
ME674#ELECTIVE#
ME683#ELECTIVE#
ME688#ELECTIVE#
NT705#Dept. Elective#Ph.D
PH202#Compulsory#Btech EP 4-Sem
PH204#Compulsory#Btech EP 4-Sem
PH206#Compulsory#Btech EP 4-Sem
PH208#Compulsory#Btech EP 4-Sem
PH210#Compulsory#Btech EP 4-Sem
PH282M#Minor#Btech 4-Sem
PH302#Compulsory#Btech EP 6-Sem
PH304#Compulsory#Btech EP 6-Sem
PH306#Compulsory#Btech EP 6-Sem
PH308#Compulsory#Btech EP 6-Sem
PH310#Compulsory#Btech EP 6-Sem
PH312#Compulsory#BTech EP 6-Sem
PH382M#Minor#BTech 6-Sem
PH402#Compulsory#MSc Physics 2-Sem
PH404#Compulsory#MSc Physics 2-Sem
PH406#Compulsory#MSc Physics 2-Sem
PH408#Compulsory#MSc Physics 2-Sem
PH410#Compulsory#MSc Physics 2-Sem
PH412#Compulsory#MSc Physics 2-Sem
PH422#Compulsory#Btech EP 8-Sem
PH442#Open Elective#Btech 8-Sem
PH451#Elective#Btech  8-Sem
PH452#Elective#Btech 8-Sem
PH458#Department elective#Btech EP 8-Sem
PH464#Department elective#Btech EP 8-Sem
PH466#Elective#Btech 8-Sem
PH516#Compulsory#MSc Physics 4-Sem
PH518#Compulsory#MSc Physics 4-Sem
PH524#Elective#MSc Physics 4-Sem
PH527#Elective#MSc Physics 4-Sem
PH541#Department elective#MSc Physics 4-Sem,Btech 8th sem
PH544#Department elective#MSc Physics 4-Sem, Btech 8th sem
PH551#Open Elective#Btech 6-Sem
PH702#Department Elective#Phd Physics 1,2-Sem
PH704#Department Elective#Phd Physics 1,2-Sem
PH706#Department Elective#Phd Physics, MSc Physics 1,2,4-Sem
PH708#Department Elective#PhD Physics 1,2-Sem
RA505#Compulsory#M.Tech (Robotics and AI, 2nd Sem)
RA506#Compulsory#M.Tech (Robotics and AI, 2nd Sem)
RT512#Compulsory#M.Tech/PhD, II Sem
RT514#Dept. Elective#M.Tech/PhD, II Sem
RT515#Dept. Elective#M.Tech/PhD, II Sem
RT516#Dept. Elective#M.Tech/PhD, II Sem
RT517##
RT520#Compulsory#M.Tech/PhD, II Sem
RT692#Compulsory#M. Tech, IV Sem
