ISim log file
Running: /home/ise/Desktop/CS_224/Lab10/test1_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb /home/ise/Desktop/CS_224/Lab10/test1_isim_beh.wdb 
ISim P.20131013 (signature 0xfbc00daa)
----------------------------------------------------------------------
WARNING:Security:42 - Your software subscription period has lapsed. Your current version of Xilinx tools will continue to function, but you no longer qualify for Xilinx software updates or new releases.


----------------------------------------------------------------------
This is a Full version of ISim.
WARNING:  For instance uut/alu/, width 1 of formal port cin is not equal to width 32 of actual constant.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
                   0,  curr= 0,  ss_add= 0,  ss_in=    0,  ss_out=    z,  rf_id= 0,  rf_in=    0,  rf_out=    x,  alu_out=    x, tmp=    x, op= 0, tmp1=    0, tmp2=    0, is_direct=x
                 175,  curr=16,  ss_add= 6,  ss_in=    0,  ss_out=    z,  rf_id= 9,  rf_in=    6,  rf_out=    4,  alu_out=    6, tmp= 2305, op= 0, tmp1=    2, tmp2=    4, is_direct=0
                 177,  curr=17,  ss_add= 6,  ss_in=    0,  ss_out=    z,  rf_id= 9,  rf_in=    6,  rf_out=    6,  alu_out=    6, tmp= 2305, op= 0, tmp1=    2, tmp2=    4, is_direct=0
                 179,  curr=18,  ss_add= 6,  ss_in=    0,  ss_out=    z,  rf_id= 9,  rf_in=    6,  rf_out=    6,  alu_out=    6, tmp= 2305, op= 0, tmp1=    2, tmp2=    4, is_direct=0
                 181,  curr=11,  ss_add= 6,  ss_in=    0,  ss_out=    z,  rf_id= 9,  rf_in=    6,  rf_out=    6,  alu_out=    6, tmp= 2305, op= 0, tmp1=    0, tmp2=    0, is_direct=0
                 183,  curr=12,  ss_add= 6,  ss_in=    0,  ss_out=    z,  rf_id= 7,  rf_in=    6,  rf_out=    6,  alu_out=    6, tmp= 2305, op= 0, tmp1=    0, tmp2=    0, is_direct=0
                 185,  curr=13,  ss_add= 6,  ss_in=    0,  ss_out=    z,  rf_id= 2,  rf_in=    6,  rf_out= 6691,  alu_out=    6, tmp= 6691, op= 0, tmp1=    0, tmp2=    0, is_direct=0
                 187,  curr=14,  ss_add= 6,  ss_in=    0,  ss_out=    z,  rf_id= 3,  rf_in=    6,  rf_out=    6,  alu_out=    6, tmp= 6691, op= 0, tmp1=    6, tmp2=    0, is_direct=0
                 189,  curr=15,  ss_add= 6,  ss_in=    0,  ss_out=    z,  rf_id= 3,  rf_in=    6,  rf_out=    8,  alu_out=    6, tmp= 6691, op= 1, tmp1=    6, tmp2=    8, is_direct=0
                 191,  curr=16,  ss_add= 6,  ss_in=    0,  ss_out=    z,  rf_id=10,  rf_in=65534,  rf_out=    8,  alu_out=65534, tmp= 6691, op= 1, tmp1=    6, tmp2=    8, is_direct=0
                 193,  curr=17,  ss_add= 6,  ss_in=    0,  ss_out=    z,  rf_id=10,  rf_in=65534,  rf_out=65534,  alu_out=65534, tmp= 6691, op= 1, tmp1=    6, tmp2=    8, is_direct=0
                 195,  curr=18,  ss_add= 6,  ss_in=    0,  ss_out=    z,  rf_id=10,  rf_in=65534,  rf_out=65534,  alu_out=65534, tmp= 6691, op= 1, tmp1=    6, tmp2=    8, is_direct=0
                 197,  curr=11,  ss_add= 6,  ss_in=    0,  ss_out=    z,  rf_id=10,  rf_in=65534,  rf_out=65534,  alu_out=65534, tmp= 6691, op= 1, tmp1=    0, tmp2=    0, is_direct=0
                 199,  curr=12,  ss_add= 6,  ss_in=    0,  ss_out=    z,  rf_id= 8,  rf_in=65534,  rf_out=65534,  alu_out=65534, tmp= 6691, op= 1, tmp1=    0, tmp2=    0, is_direct=0
                 201,  curr=13,  ss_add= 6,  ss_in=    0,  ss_out=    z,  rf_id= 4,  rf_in=65534,  rf_out=47941,  alu_out=65534, tmp=47941, op= 1, tmp1=    0, tmp2=    0, is_direct=0
                 203,  curr=14,  ss_add= 6,  ss_in=    0,  ss_out=    z,  rf_id= 5,  rf_in=65534,  rf_out=   10,  alu_out=65534, tmp=47941, op= 1, tmp1=   10, tmp2=    0, is_direct=0
                 205,  curr=15,  ss_add= 6,  ss_in=    0,  ss_out=    z,  rf_id= 5,  rf_in=65534,  rf_out=   12,  alu_out=65534, tmp=47941, op= 3, tmp1=   10, tmp2=    5, is_direct=1
                 207,  curr=16,  ss_add= 6,  ss_in=    0,  ss_out=    z,  rf_id=11,  rf_in=    0,  rf_out=   12,  alu_out=    0, tmp=47941, op= 3, tmp1=   10, tmp2=    5, is_direct=1
                 209,  curr=17,  ss_add= 6,  ss_in=    0,  ss_out=    z,  rf_id=11,  rf_in=    0,  rf_out=    0,  alu_out=    0, tmp=47941, op= 3, tmp1=   10, tmp2=    5, is_direct=1
                 211,  curr=18,  ss_add= 6,  ss_in=    0,  ss_out=    z,  rf_id=11,  rf_in=    0,  rf_out=    0,  alu_out=    0, tmp=47941, op= 3, tmp1=   10, tmp2=    5, is_direct=1
                 213,  curr= 0,  ss_add= 0,  ss_in=    0,  ss_out=    z,  rf_id= 0,  rf_in=    0,  rf_out=    0,  alu_out=    0, tmp=47941, op= 3, tmp1=    0, tmp2=    0, is_direct=1
# exit 0
